restaurant_name,address,location,primary_cuisine,rating,votes,cost_for_two,sentiment_compound,cluster,segment
Bottoms Up Resto Bar,"421, 5th Main, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Kalyan Nagar,Finger Food,3.9,248,1200,0.681,1,Budget crowd-pleasers
Bowl N Biryani,"7, ITPL Main Road, Prasanth Layout, Whitefield, Near Hope Farm Junction, Prasanth Extension, ITPL Main Road, Whitefield, Bangalore","ITPL Main Road, Whitefield",Biryani,3.3,24,500,0.14,4,Hidden gems
Bowlful,"181, 3rd Floor, Amar Jyothi Layout, Inner Ring Road, Domlur, Bangalore",Domlur,North Indian,3.6,12,500,0.331,4,Hidden gems
Bowlful,"181, 3rd Floor, Amar Jyothi Layout, Inner Ring Road, Domlur, Bangalore",Domlur,North Indian,3.6,12,500,0.332,4,Hidden gems
Bowring Kulfi,"17/3, Residency Road, Bangalore",Residency Road,Ice Cream,4.0,100,150,0.329,4,Hidden gems
Bowring Kulfi,"17/3, Residency Road, Bangalore",Residency Road,Ice Cream,4.0,100,150,0.685,0,Mass-market favourites
Box Magic,"67, Doresani Palya Main Road, Bilekahalli Dakahale, Bannerghatta Road, Bangalore",Bannerghatta Road,North Indian,3.7,22,400,0.421,4,Hidden gems
Box Magic,"67, Doresani Palya Main Road, Bilekahalli Dakahale, Bannerghatta Road, Bangalore",Bannerghatta Road,North Indian,3.7,22,400,0.419,4,Hidden gems
Box Magic,"67, Doresani Palya Main Road, Bilekahalli Dakahale, Bannerghatta Road, Bangalore",Bannerghatta Road,North Indian,3.7,22,400,0.461,4,Hidden gems
Box Magic,"67, Doresani Palya Main Road, Bilekahalli Dakahale, Bannerghatta Road, Bangalore",Bannerghatta Road,North Indian,3.7,22,400,0.46,4,Hidden gems
