restaurant_name,address,location,primary_cuisine,rating,votes,cost_for_two,sentiment_compound,cluster,segment
Bombay Kulfi,"41, Kadubeesanahalli, Marathahalli, Bangalore",Marathahalli,Desserts,3.9,41,150,0.378,4,Hidden gems
Bombay Kulfi,"41, Kadubeesanahalli, Marathahalli, Bangalore",Marathahalli,Desserts,3.9,41,150,0.341,4,Hidden gems
Bombay Kulfi,"41, Kadubeesanahalli, Marathahalli, Bangalore",Marathahalli,Desserts,3.9,41,150,0.407,4,Hidden gems
Bombay Kulfi,"524, 11th Main, 45th Cross, 5th Block, Jayanagar, Bangalore",Jayanagar,Desserts,3.8,18,150,0.797,0,Mass-market favourites
Bombay Kulfi,"Near Brigade Millennium, 7th Phase, JP Nagar, Bangalore",JP Nagar,Desserts,3.7,41,150,0.086,2,Premium destination
Bombay Kulfi,"Near Brigade Millennium, 7th Phase, JP Nagar, Bangalore",JP Nagar,Desserts,3.7,41,150,0.091,2,Premium destination
Bombay Kulfi,"Near Brigade Millennium, 7th Phase, JP Nagar, Bangalore",JP Nagar,Desserts,3.7,41,150,0.162,2,Premium destination
Bombay Kulfi,"Near Brigade Millennium, 7th Phase, JP Nagar, Bangalore",JP Nagar,Desserts,3.7,41,150,0.188,2,Premium destination
Bombay Kulfis,"1158, 5th Main, 20th Cross, Sector 7, Near 3M Car Care, HSR, Bangalore",HSR,Ice Cream,3.8,41,200,-0.153,2,Premium destination
Bombay Kulfis,"120/4, Halur Main Road, Phase 3 HSR Layout, BBMP South, HSR, Bangalore",HSR,Ice Cream,3.4,8,200,0.442,4,Hidden gems
Bombay Kulfis,"21, 24th Main Road, Next to Kidzon, Kotak Mahandra Bank Building, 6th Phase, JP Nagar, Bangalore",JP Nagar,Ice Cream,3.3,11,200,0.797,0,Mass-market favourites
Bombay Kulfis,"356, Drive Rajkumar Road, 6th Block, Rajajinagar, Bangalore",Rajajinagar,Ice Cream,3.3,6,200,0.879,0,Mass-market favourites
Bombay Kulfis,"556, HAL, Stage 3, Jeevan Bima Nagar Road, Indiranagar, Bangalore",Indiranagar,Ice Cream,3.3,4,200,0.915,0,Mass-market favourites
Bombay Kulfis,"65/1A, Kaikondrahall, Sarjapur Road, Bangalore",Sarjapur Road,Ice Cream,3.7,48,200,0.852,0,Mass-market favourites
Bombay Kulfis,"Near Jyoti Nivas College, 1st Main, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Ice Cream,3.9,28,200,0.477,0,Mass-market favourites
Bombay Kulfis,"Near Jyoti Nivas College, 1st Main, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Ice Cream,3.9,28,200,0.514,0,Mass-market favourites
Bombay Kulfis,"Near Jyoti Nivas College, 1st Main, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Ice Cream,3.9,28,200,0.514,0,Mass-market favourites
Bombay Kulfis,"Near Jyoti Nivas College, 1st Main, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Ice Cream,3.9,28,200,0.515,0,Mass-market favourites
